"Date","Advertiser ID","Advertiser","Campaign Group ID","Campaign Group","Media Cost","Impressions","Clicks"
"2024-09-05","49498","Pharmacare","118852","Haliborange","£86.09 ","22,057","33"
"2024-09-06","49498","Pharmacare","118852","Haliborange","£86.22 ","22,177","29"
"2024-09-07","49498","Pharmacare","118852","Haliborange","£86.23 ","22,010","76"
"2024-09-08","49498","Pharmacare","118852","Haliborange","£86.19 ","22,242","45"
"2024-09-09","49498","Pharmacare","118852","Haliborange","£86.12 ","21,913","75"
"2024-09-10","49498","Pharmacare","118852","Haliborange","£86.23 ","22,147","40"
"2024-09-11","49498","Pharmacare","118852","Haliborange","£86.21 ","22,383","42"
"2024-09-12","49498","Pharmacare","118852","Haliborange","£57.66 ","14,829","15"
"2024-09-05","49498","Pharmacare","121502","Superfoods","£34.45 ","8,855","15"
"2024-09-06","49498","Pharmacare","121502","Superfoods","£34.49 ","8,856","4"
"2024-09-07","49498","Pharmacare","121502","Superfoods","£34.49 ","8,800","19"
"2024-09-08","49498","Pharmacare","121502","Superfoods","£34.47 ","8,828","14"
"2024-09-09","49498","Pharmacare","121502","Superfoods","£34.41 ","8,790","6"
"2024-09-10","49498","Pharmacare","121502","Superfoods","£34.49 ","8,885","21"
"2024-09-11","49498","Pharmacare","121502","Superfoods","£34.49 ","8,882","14"
"2024-09-12","49498","Pharmacare","121502","Superfoods","£23.66 ","6,217","9"
"2024-09-05","49498","Pharmacare","156138","Sambucol","£51.76 ","13,273","32"
"2024-09-06","49498","Pharmacare","156138","Sambucol","£51.76 ","13,239","29"
"2024-09-07","49498","Pharmacare","156138","Sambucol","£51.75 ","13,416","27"
"2024-09-08","49498","Pharmacare","156138","Sambucol","£51.71 ","13,218","23"
"2024-09-09","49498","Pharmacare","156138","Sambucol","£51.73 ","13,206","35"
"2024-09-10","49498","Pharmacare","156138","Sambucol","£51.73 ","13,299","29"
"2024-09-11","49498","Pharmacare","156138","Sambucol","£51.80 ","13,205","21"
"2024-09-12","49498","Pharmacare","156138","Sambucol","£18.43 ","4,716","2"
"2024-09-05","49498","Pharmacare","170822","Skin Doctors","£32.85 ","8,642","16"
"2024-09-06","49498","Pharmacare","170822","Skin Doctors","£32.86 ","8,585","19"
"2024-09-07","49498","Pharmacare","170822","Skin Doctors","£32.86 ","8,569","16"
"2024-09-08","49498","Pharmacare","170822","Skin Doctors","£32.83 ","8,589","17"
"2024-09-09","49498","Pharmacare","170822","Skin Doctors","£32.87 ","8,525","16"
"2024-09-10","49498","Pharmacare","170822","Skin Doctors","£32.79 ","8,543","18"
"2024-09-11","49498","Pharmacare","170822","Skin Doctors","£32.84 ","8,664","11"
"2024-09-12","49498","Pharmacare","170822","Skin Doctors","£17.84 ","4,632","7"
"2024-09-05","49498","Pharmacare","203509","BIOGLAN","£207.03 ","44,984","61"
"2024-09-06","49498","Pharmacare","203509","BIOGLAN","£206.94 ","44,660","74"
"2024-09-07","49498","Pharmacare","203509","BIOGLAN","£207.00 ","44,574","96"
"2024-09-08","49498","Pharmacare","203509","BIOGLAN","£206.81 ","44,691","81"
"2024-09-09","49498","Pharmacare","203509","BIOGLAN","£206.93 ","44,267","94"
"2024-09-10","49498","Pharmacare","203509","BIOGLAN","£206.89 ","44,584","90"
"2024-09-11","49498","Pharmacare","203509","BIOGLAN","£207.95 ","44,939","64"
"2024-09-12","49498","Pharmacare","203509","BIOGLAN","£139.42 ","27,355","34"
"2024-09-05","49498","Pharmacare","203513","PROMENSIL","£27.59 ","7,055","7"
"2024-09-06","49498","Pharmacare","203513","PROMENSIL","£27.60 ","7,056","11"
"2024-09-07","49498","Pharmacare","203513","PROMENSIL","£27.60 ","7,251","21"
"2024-09-08","49498","Pharmacare","203513","PROMENSIL","£27.58 ","7,140","16"
"2024-09-09","49498","Pharmacare","203513","PROMENSIL","£27.60 ","7,014","12"
"2024-09-10","49498","Pharmacare","203513","PROMENSIL","£27.60 ","7,054","12"
"2024-09-11","49498","Pharmacare","203513","PROMENSIL","£27.59 ","7,061","12"
"2024-09-12","49498","Pharmacare","203513","PROMENSIL","£8.63 ","2,267","2"
"","","","","","£3,345.06 ","792,144","1,462"
